date time,temperature
02.01.2015 00:00:00,0.591382
02.01.2015 01:00:00,0.9411253
02.01.2015 02:00:00,0.83494145
02.01.2015 03:00:00,1.0619082
02.01.2015 04:00:00,1.6095083
02.01.2015 05:00:00,2.1267366
02.01.2015 06:00:00,1.1543941
02.01.2015 07:00:00,0.9780376
02.01.2015 08:00:00,4.0848837
02.01.2015 09:00:00,3.36549
02.01.2015 10:00:00,2.9790173
02.01.2015 11:00:00,2.9461231
02.01.2015 12:00:00,3.0834327
02.01.2015 13:00:00,3.2043114
02.01.2015 14:00:00,3.8866625
02.01.2015 15:00:00,4.019674
02.01.2015 16:00:00,4.096415
02.01.2015 17:00:00,3.3532138
02.01.2015 18:00:00,2.8452582
02.01.2015 19:00:00,3.0481925
02.01.2015 20:00:00,2.6196246
02.01.2015 21:00:00,2.6902227
02.01.2015 22:00:00,2.8671975
02.01.2015 23:00:00,3.0799098
03.01.2015 00:00:00,2.577992
03.01.2015 01:00:00,2.6918492
03.01.2015 02:00:00,2.619532
03.01.2015 03:00:00,2.622767
03.01.2015 04:00:00,2.7488585
03.01.2015 05:00:00,2.3081808
03.01.2015 06:00:00,1.9103106
03.01.2015 07:00:00,1.3496983
03.01.2015 08:00:00,1.6051881
03.01.2015 09:00:00,1.0817548
03.01.2015 10:00:00,1.4858348
03.01.2015 11:00:00,1.5879986
03.01.2015 12:00:00,1.8163037
03.01.2015 13:00:00,2.0448532
03.01.2015 14:00:00,1.9651617
03.01.2015 15:00:00,1.5896102
03.01.2015 16:00:00,0.9663744
03.01.2015 17:00:00,1.0155067
03.01.2015 18:00:00,0.9063579
03.01.2015 19:00:00,0.83792245
03.01.2015 20:00:00,1.002671
03.01.2015 21:00:00,1.15558
03.01.2015 22:00:00,0.18214673
03.01.2015 23:00:00,0.55311173
04.01.2015 00:00:00,0.9658587
04.01.2015 01:00:00,1.134681
04.01.2015 02:00:00,0.9992479
04.01.2015 03:00:00,1.5619512
04.01.2015 04:00:00,1.5144697
04.01.2015 05:00:00,1.2679322
04.01.2015 06:00:00,1.5972387
04.01.2015 07:00:00,1.8483931
04.01.2015 08:00:00,1.6642662
04.01.2015 09:00:00,1.7260482
04.01.2015 10:00:00,1.8021951
04.01.2015 11:00:00,2.3606179
04.01.2015 12:00:00,2.4999752
04.01.2015 13:00:00,2.674209
04.01.2015 14:00:00,2.7275233
04.01.2015 15:00:00,2.930822
04.01.2015 16:00:00,0.42772835
04.01.2015 17:00:00,1.2529501
04.01.2015 18:00:00,1.691498
04.01.2015 19:00:00,1.7221158
04.01.2015 20:00:00,1.5838584
04.01.2015 21:00:00,1.3958572
04.01.2015 22:00:00,1.2539403
04.01.2015 23:00:00,1.4679608
05.01.2015 00:00:00,1.5009968
05.01.2015 01:00:00,1.5486754
05.01.2015 02:00:00,1.3538449
05.01.2015 03:00:00,1.2982103
05.01.2015 04:00:00,1.6531221
05.01.2015 05:00:00,1.7848929
05.01.2015 06:00:00,1.5741637
05.01.2015 07:00:00,1.4212034
05.01.2015 08:00:00,1.6370285
05.01.2015 09:00:00,1.1163503
05.01.2015 10:00:00,0.9296354
05.01.2015 11:00:00,1.4285601
05.01.2015 12:00:00,1.996159
05.01.2015 13:00:00,1.4812382
05.01.2015 14:00:00,1.2298038
05.01.2015 15:00:00,0.9931296
05.01.2015 16:00:00,0.9600535
05.01.2015 17:00:00,0.6578326
05.01.2015 18:00:00,0.6497457
05.01.2015 19:00:00,0.49240714
05.01.2015 20:00:00,0.4026196
05.01.2015 21:00:00,0.09739387
05.01.2015 22:00:00,-0.5217234
05.01.2015 23:00:00,-0.40539885
06.01.2015 00:00:00,-0.3845104
06.01.2015 01:00:00,-0.9370427
06.01.2015 02:00:00,-1.0032378
06.01.2015 03:00:00,-1.018213
06.01.2015 04:00:00,-1.2312549
06.01.2015 05:00:00,-1.2767009
06.01.2015 06:00:00,-1.33543
06.01.2015 07:00:00,-1.9695352
06.01.2015 08:00:00,-2.0580273
06.01.2015 09:00:00,-2.9218044
06.01.2015 10:00:00,-2.9575634
06.01.2015 11:00:00,-1.1674533
06.01.2015 12:00:00,-1.1362423
06.01.2015 13:00:00,0.5175161
06.01.2015 14:00:00,2.574621
06.01.2015 15:00:00,2.5652723
06.01.2015 16:00:00,2.0542727
06.01.2015 17:00:00,1.3130248
06.01.2015 18:00:00,0.32539088
06.01.2015 19:00:00,-0.36419332
06.01.2015 20:00:00,-0.83598423
06.01.2015 21:00:00,-0.5401684
06.01.2015 22:00:00,-0.35906923
06.01.2015 23:00:00,-0.012112379
07.01.2015 00:00:00,-0.33581865
07.01.2015 01:00:00,0.1635139
07.01.2015 02:00:00,0.1705854
07.01.2015 03:00:00,0.44508752
07.01.2015 04:00:00,0.061757386
07.01.2015 05:00:00,-0.20669639
07.01.2015 06:00:00,0.1234256
07.01.2015 07:00:00,0.47003567
07.01.2015 08:00:00,0.2777598
07.01.2015 09:00:00,1.0993954
07.01.2015 10:00:00,1.226268
07.01.2015 11:00:00,1.8394635
07.01.2015 12:00:00,2.8116045
07.01.2015 13:00:00,3.6148725
07.01.2015 14:00:00,3.4367695
07.01.2015 15:00:00,4.2555737
07.01.2015 16:00:00,3.2445073
07.01.2015 17:00:00,2.9816027
07.01.2015 18:00:00,1.8225229
07.01.2015 19:00:00,0.54524755
07.01.2015 20:00:00,0.25320828
07.01.2015 21:00:00,-0.14398408
07.01.2015 22:00:00,0.14246207
07.01.2015 23:00:00,-0.9285809
08.01.2015 00:00:00,-1.3315092
08.01.2015 01:00:00,-0.59580696
08.01.2015 02:00:00,0.09253687
08.01.2015 03:00:00,0.88854545
08.01.2015 04:00:00,0.6486671
08.01.2015 05:00:00,1.1571877
08.01.2015 06:00:00,0.7577293
08.01.2015 07:00:00,1.2365079
08.01.2015 08:00:00,2.6912427
08.01.2015 09:00:00,2.0031826
08.01.2015 10:00:00,2.3609753
08.01.2015 11:00:00,2.9001064
08.01.2015 12:00:00,3.4653778
08.01.2015 13:00:00,4.642156
08.01.2015 14:00:00,5.4332523
08.01.2015 15:00:00,5.3408966
08.01.2015 16:00:00,5.783601
08.01.2015 17:00:00,6.1315765
08.01.2015 18:00:00,6.0779986
08.01.2015 19:00:00,6.71859
08.01.2015 20:00:00,6.2287016
08.01.2015 21:00:00,6.338271
08.01.2015 22:00:00,6.6265364
08.01.2015 23:00:00,6.2193737
09.01.2015 00:00:00,3.310501
09.01.2015 01:00:00,3.5826454
09.01.2015 02:00:00,3.499959
09.01.2015 03:00:00,3.7804146
09.01.2015 04:00:00,3.9152699
09.01.2015 05:00:00,3.5574412
09.01.2015 06:00:00,2.7017484
09.01.2015 07:00:00,4.558638
09.01.2015 08:00:00,4.770155
09.01.2015 09:00:00,4.785157
09.01.2015 10:00:00,5.6792965
09.01.2015 11:00:00,6.2129064
09.01.2015 12:00:00,7.679872
09.01.2015 13:00:00,7.763828
09.01.2015 14:00:00,7.408069
09.01.2015 15:00:00,7.686406
