date_time,temperature
02.01.2015 00:00:00,0.64052045
02.01.2015 01:00:00,1.024993
02.01.2015 02:00:00,0.89122987
02.01.2015 03:00:00,1.1391356
02.01.2015 04:00:00,1.8066086
02.01.2015 05:00:00,2.3465106
02.01.2015 06:00:00,1.3110311
02.01.2015 07:00:00,1.0957508
02.01.2015 08:00:00,4.0345573
02.01.2015 09:00:00,3.3827162
02.01.2015 10:00:00,3.0207152
02.01.2015 11:00:00,2.8770134
02.01.2015 12:00:00,3.0408778
02.01.2015 13:00:00,3.1883698
02.01.2015 14:00:00,3.8306367
02.01.2015 15:00:00,3.975401
02.01.2015 16:00:00,4.0494304
02.01.2015 17:00:00,3.2958426
02.01.2015 18:00:00,2.7937207
02.01.2015 19:00:00,2.9615147
02.01.2015 20:00:00,2.5703125
02.01.2015 21:00:00,2.6172242
02.01.2015 22:00:00,2.7947268
02.01.2015 23:00:00,3.0031843
03.01.2015 00:00:00,2.5161755
03.01.2015 01:00:00,2.5896752
03.01.2015 02:00:00,2.5558918
03.01.2015 03:00:00,2.5498848
03.01.2015 04:00:00,2.698503
03.01.2015 05:00:00,2.2387068
03.01.2015 06:00:00,1.8528576
03.01.2015 07:00:00,1.3706915
03.01.2015 08:00:00,1.6682446
03.01.2015 09:00:00,1.1950226
03.01.2015 10:00:00,1.6190709
03.01.2015 11:00:00,1.6846998
03.01.2015 12:00:00,1.9112341
03.01.2015 13:00:00,2.1382418
03.01.2015 14:00:00,2.0428066
03.01.2015 15:00:00,1.6552744
03.01.2015 16:00:00,0.9852121
03.01.2015 17:00:00,1.0144507
03.01.2015 18:00:00,0.9333595
03.01.2015 19:00:00,0.8714061
03.01.2015 20:00:00,1.0149338
03.01.2015 21:00:00,1.1367524
03.01.2015 22:00:00,0.16634285
03.01.2015 23:00:00,0.4870658
04.01.2015 00:00:00,0.9126252
04.01.2015 01:00:00,1.0710126
04.01.2015 02:00:00,0.90602374
04.01.2015 03:00:00,1.492509
04.01.2015 04:00:00,1.4224781
04.01.2015 05:00:00,1.1908516
04.01.2015 06:00:00,1.4821894
04.01.2015 07:00:00,1.7317176
04.01.2015 08:00:00,1.5340819
04.01.2015 09:00:00,1.6156485
04.01.2015 10:00:00,1.6894667
04.01.2015 11:00:00,2.2489235
04.01.2015 12:00:00,2.3963223
04.01.2015 13:00:00,2.5725567
04.01.2015 14:00:00,2.6404748
04.01.2015 15:00:00,2.8092732
04.01.2015 16:00:00,0.30856705
04.01.2015 17:00:00,1.1626973
04.01.2015 18:00:00,1.6157098
04.01.2015 19:00:00,1.7519424
04.01.2015 20:00:00,1.6519926
04.01.2015 21:00:00,1.4675763
04.01.2015 22:00:00,1.3132731
04.01.2015 23:00:00,1.542968
05.01.2015 00:00:00,1.5732515
05.01.2015 01:00:00,1.6340083
05.01.2015 02:00:00,1.4417051
05.01.2015 03:00:00,1.3642905
05.01.2015 04:00:00,1.7411156
05.01.2015 05:00:00,1.8925532
05.01.2015 06:00:00,1.7233944
05.01.2015 07:00:00,1.5622611
05.01.2015 08:00:00,1.7638153
